Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
120.12780991454902,2.610277178433096e-09,2.6102708466924085e-09,2.6103428012874685e-09,2.6102680190931427e-09,2.610270206579446e-09,2.6102707946507042e-09,2.612780186650454e-09,2.6101761273211732e-09,2.6102433495905908e-09,2.6102614514300626e-09,4.641853325326739e-10,0.029177181231009083,0.00014400412172030537,2.610163512412056e-09,4.138729969849209e-09,2.5939487554443863e-09,2.6010141228327566e-09,2.6046714264593707e-09
144.30690714866023,9.739098555394676e-10,9.73906223028509e-10,9.73947778329376e-10,9.739048560664099e-10,9.739059159824537e-10,9.739062022118272e-10,9.753834250697535e-10,9.738603846953797e-10,9.738930183134098e-10,9.739017647891757e-10,1.8866280759866072e-10,0.003770814535848273,3.410046887648323e-05,9.738552499138908e-10,1.5172635162152837e-09,9.668798834489012e-10,9.70181280798843e-10,9.717424261090901e-10
173.35272711310714,2.393740882594697e-09,2.393726453164824e-09,2.393892721205826e-09,2.3937221250297513e-09,2.393725479984954e-09,2.393726383775885e-09,2.4016332689918984e-09,2.393581414669721e-09,2.3936844659178114e-09,2.393712330781006e-09,5.319565742761823e-10,0.0025934627817326486,4.7436130146174746e-05,2.3935650406148312e-09,3.6320653117039026e-09,2.375726103689968e-09,2.385370418550581e-09,2.389191235477317e-09
208.24483450812022,6.306948499915088e-09,6.306897041077897e-09,6.307538751720854e-09,6.306880830087014e-09,6.3068934241794494e-09,6.306896796481887e-09,6.336783433050219e-09,6.3064022840647604e-09,6.306740900352548e-09,6.306844727022032e-09,1.682908394237681e-09,2.8608743651847846e-08,6.306720931764306e-05,6.306299009037342e-09,1.0018505721201554e-08,6.247932293063085e-09,6.2827900642464796e-09,6.29455077470753e-09
250.15995895478184,4.185137198950417e-08,4.185127001204991e-08,4.1854034155131004e-08,4.1850947979718556e-08,4.185120332754477e-08,4.1851267298942396e-08,4.2063572383913006e-08,4.184231623335921e-08,4.184832698081453e-08,4.185029550338171e-08,1.4163007776984982e-08,1.8920340498496113e-07,7.863245745257964e-05,4.1840114279462215e-08,6.844474922940158e-08,4.0859826192646276e-08,4.149759867504155e-08,4.169237835700834e-08
300.5116799755142,1.270885269574057e-07,1.2708281244867836e-07,1.2715496145419836e-07,1.2708195109081832e-07,1.2708257812570067e-07,1.270827764288801e-07,1.3066411712336912e-07,1.2705826913685103e-07,1.2707322110186436e-07,1.270793204936893e-07,4.148889384131271e-08,5.75767178483122e-07,9.22936835859086e-05,1.2704314781772363e-07,1.9443376261980838e-07,1.2496012607131346e-07,1.2613094467657515e-07,1.266892062992686e-07
360.99809969200356,2.0213674348928956e-07,2.0211650863903585e-07,2.024052320592079e-07,2.0211553177981734e-07,2.021161438665875e-07,2.021164185669888e-07,2.1436385191225815e-07,2.020864603002187e-07,2.021025861716902e-07,2.0211103326540913e-07,6.701732559698248e-08,9.167392270026387e-07,0.00010370894221534317,2.0205468049573627e-07,3.0789665131369937e-07,2.0033116872840429e-07,2.0081678283635773e-07,2.015630291042625e-07
433.6591109931442,2.6203088260984275e-07,2.619881288475068e-07,2.625402877390326e-07,2.619871885458508e-07,2.6198766468928103e-07,2.6198798594272155e-07,2.877170713257854e-07,2.6195804739108375e-07,2.6197125149209077e-07,2.6198112839867504e-07,5.27743180829543e-07,1.188849543760917e-06,0.00011376907222728806,2.6190937963896377e-07,3.8271173497493594e-07,2.6126433152508233e-07,2.6044226193039366e-07,2.6129558802767683e-07
520.9451925309675,3.241025566102368e-07,3.240180388129621e-07,3.250037955374735e-07,3.2401714856848673e-07,3.2401750262901763e-07,3.240178465934579e-07,6.22176916081213e-08,3.2398607091067844e-07,3.239990982156077e-07,3.240096720820429e-07,6.555450226784776e-07,1.4712896459767588e-06,0.00012367294027731957,3.239241595873882e-07,4.479146106222548e-07,3.254885841096067e-07,3.2230596928167765e-07,3.2319508932489305e-07
625.8000506425814,3.9588628869199893e-07,3.95712624031222e-07,3.9774894453753484e-07,3.9571084993993144e-07,3.9571203608139427e-07,3.9571231856029565e-07,8.112387606985794e-08,3.95680660170844e-07,3.9569449787960065e-07,3.957032930490545e-07,8.029932571946424e-07,1.7988970804141968e-06,0.00013399265673062245,3.956088318896739e-07,5.205162484679671e-07,4.026079562322732e-07,3.940698247509311e-07,3.9480006660402855e-07
751.7598952810716,4.858073230015747e-07,4.854324862860887e-07,4.899238135389061e-07,4.854311960577479e-07,4.854292109321423e-07,4.854291667088367e-07,1.0866608889104068e-07,4.853853809959341e-07,4.854212541424013e-07,4.85420401336728e-07,1.0031538862417116e-06,2.212386550119738e-06,0.00014433468786981436,4.853282153608612e-07,6.141820548481031e-07,5.057269878462611e-07,4.843792234844602e-07,4.84566088150562e-07
903.0726980170585,6.088830824951819e-07,6.081920799361901e-07,6.168656384638455e-07,6.081292200678379e-07,6.081687464673524e-07,6.081677985849548e-07,1.4389865982122885e-07,6.083912857633711e-07,6.081945103323522e-07,6.081612685619048e-07,1.2291266057087163e-06,2.777993858768535e-06,0.00015357024538800376,6.081045951164543e-07,7.187299327724578e-07,6.592538723954044e-07,6.091208313002e-07,6.074648279084938e-07
1084.8414540641215,7.567163071101751e-07,7.555486201248768e-07,7.696351602831664e-07,7.55608333158006e-07,7.555311067018733e-07,7.555300842471829e-07,1.8246599390800422e-07,7.561398451157164e-07,7.555824697649816e-07,7.555254374451426e-07,1.4941147835727253e-06,3.456756991648824e-06,0.00016033014300791126,7.554876795649867e-07,8.286315002700717e-07,8.521932619368067e-07,7.587592907552787e-07,7.551311242432607e-07
1303.1962798123775,9.293931127387495e-07,9.275364627244626e-07,9.492275844253523e-07,9.276200275288443e-07,9.275215811614668e-07,9.275197551551068e-07,2.3067551275374187e-07,9.28447228754764e-07,9.276009812209107e-07,9.275193461749653e-07,1.8170664612907755e-06,4.253250876246062e-06,0.0001635911854062557,9.275242799436367e-07,9.34696064958454e-07,1.095976630555509e-06,9.339999870131704e-07,9.275926490474179e-07
1565.5011498264855,1.1485369462906764e-06,1.1457445271423339e-06,1.1775785619862894e-06,1.1458458978718528e-06,1.145729716487895e-06,1.1457266224021434e-06,1.756293927721031e-06,1.1471068445869509e-06,1.1458540286040514e-06,1.1457332335287201e-06,2.1789367024051265e-06,5.2682217831639955e-06,0.0001629953623026939,1.1458117850169508e-06,1.0237671325043912e-06,1.421979204364876e-06,1.157233753041123e-06,1.1465481660442867e-06
1880.602245473642,1.4297493352039697e-06,1.4254457115468744e-06,1.4726991287173502e-06,1.425566463314834e-06,1.4254326071855283e-06,1.4254274799084532e-06,2.229855713020701e-06,1.4274856607598974e-06,1.4256284449377932e-06,1.4254469696030336e-06,2.5500567543378094e-06,6.574938169828792e-06,0.00015919373841332546,1.4256600779118112e-06,1.0806052021840318e-06,1.8642299723231615e-06,1.4450573727151778e-06,1.427605044273389e-06
2259.126290691315,1.7921767379303066e-06,1.7851732390418429e-06,1.8584554243774448e-06,1.7853182936438533e-06,1.7851655446880083e-06,1.7851571905459773e-06,2.809236773411092e-06,1.7882036883395958e-06,1.7854746387682002e-06,1.7851994956324946e-06,2.9069703673320624e-06,8.252827963135811e-06,0.000154078105497649,1.7856487379529218e-06,1.1080347621424819e-06,4.138148660768476e-07,1.8178701457413626e-06,1.7897148521621442e-06
2713.838936211265,2.263057536786711e-06,2.2511805569704058e-06,2.3689423541365523e-06,2.251358190921357e-06,2.2511764999968986e-06,2.251163287864122e-06,3.4931169305765786e-06,2.2553398172035083e-06,2.2516645193353807e-06,2.251242111605059e-06,3.2409288872412706e-06,1.0405473769424523e-05,0.00015005411505045023,2.252074168233517e-06,1.123484650969106e-06,3.358685239361961e-06,2.3032131248358623e-06,2.259506263868616e-06
3260.0752786788876,2.8800356668048227e-06,2.8598019528782576e-06,3.0478600325564015e-06,2.859967739476249e-06,2.859815798844298e-06,2.859795355790798e-06,4.269488119868631e-06,2.8634585133632123e-06,2.8605694080384436e-06,2.859935057792501e-06,3.554148701649315e-06,1.3126225077451925e-05,0.0002280184387912186,2.861398710779506e-06,1.141674737730608e-06,4.623612753112613e-06,2.9359988620355354e-06,2.874447330014976e-06
3916.2570338425785,3.6967864606458206e-06,3.6634703488910153e-06,3.942240219448334e-06,3.6633215166441413e-06,3.663525254066907e-06,3.6634956141375075e-06,5.121306839585282e-06,3.657150136794282e-06,3.6646414554811907e-06,3.663726892526309e-06,3.858516322589531e-06,1.6589461521422655e-05,0.00025842241286178416,3.6661519272045834e-06,1.1738122125664469e-06,6.392315973102747e-06,3.7527876904953905e-06,3.6876074288646338e-06
4704.513805379568,4.789473102445943e-06,4.737557265828418e-06,5.08567066944722e-06,4.735591164843275e-06,4.7377923177889525e-06,4.737756312867686e-06,6.038717636347793e-06,4.688540228031668e-06,4.739212254165764e-06,4.738124399664839e-06,4.182547187174188e-06,2.117199793549851e-05,0.0003022117693098989,4.74198482602016e-06,1.2303104044118773e-06,8.739514310676308e-06,4.788980715014768e-06,4.775714452792332e-06
5651.429401530079,6.2698719890518645e-06,6.193458990387188e-06,6.485702229360249e-06,6.184431578532684e-06,6.194345001533583e-06,6.194340026674516e-06,7.024438246397077e-06,6.022677425094811e-06,6.194848733532404e-06,6.1949030901922025e-06,4.553921861357238e-06,2.764181927553122e-05,0.00035879843365082403,6.2007893053949575e-06,1.3215847110455148e-06,1.1661791886141346e-05,6.105642590343088e-06,6.249944554285319e-06
6788.938368924995,8.307096902996844e-06,8.199212912887374e-06,8.13663148487194e-06,8.170861666757095e-06,8.201576955189568e-06,8.201859595637073e-06,8.091846002013237e-06,7.7715953389762e-06,8.193336999775397e-06,8.20265359443434e-06,4.994280606643309e-06,3.726944527534387e-05,0.0004205348458522721,8.21082025345872e-06,1.456696647207309e-06,1.5019459469764115e-05,7.864097407951284e-06,8.266238850068025e-06
8155.402979038095,1.1159381728687023e-05,1.1009375832968238e-05,1.0055022800593144e-05,1.0945641518995963e-05,1.1012563757779523e-05,1.101453806003419e-05,9.263748476621633e-06,1.0162772366742803e-05,1.0959335479000104e-05,1.1015449846418432e-05,5.526882989759924e-06,5.1556684582350354e-05,0.00047227657928328344,1.1023698232647677e-05,1.6405901480231327e-06,1.8554415486024545e-05,1.0463529496384724e-05,1.1014365901309414e-05
9796.90698842435,1.5211008742143511e-05,1.5002683911195108e-05,1.2315566086051888e-05,1.4894140076377252e-05,1.4999130716196463e-05,1.5008227351879025e-05,1.0570367882687531e-05,1.356956234597681e-05,1.4782898342214496e-05,1.5008205486785955e-05,6.17817017598693e-06,7.127829578951195e-05,0.0007629137323477871,1.4999180345554378e-05,1.8708208066493814e-06,2.1991990616551313e-05,1.4687993977618302e-05,1.465832961199294e-05
11768.809804559573,2.1005934003585566e-05,2.0711515281090012e-05,1.5081977820513917e-05,2.051347424913627e-05,2.068926181658659e-05,2.0715040333213475e-05,1.2048308035446723e-05,1.837513855532276e-05,2.0072042166188395e-05,2.0706560732769788e-05,6.975586691635588e-06,9.574663003343586e-05,0.0008556712688775926,2.0591580570166954e-05,2.13508918951201e-06,2.5180968963577424e-05,2.1469298310143603e-05,1.9299208792943404e-05
14137.613471226117,2.9268373841435935e-05,2.8834202417104063e-05,1.864906745373436e-05,2.822599247064017e-05,2.8827577419478917e-05,2.884806707957599e-05,1.3739775671248178e-05,2.4677130742020367e-05,2.757859513805548e-05,2.878940930946608e-05,7.942000929907558e-06,0.0001231752842192277,0.0014060658347094107,2.8282859204082147e-05,2.408916694897692e-06,2.815759344217475e-05,3.118906460030865e-05,2.5255149895783355e-05
16983.205437168206,4.091543957418335e-05,4.02599383581715e-05,2.3510731863272266e-05,3.816617967376812e-05,4.0438625110564286e-05,4.031609557753925e-05,1.5690617470288937e-05,3.2098721755200246e-05,3.846931030121459e-05,4.008548474941122e-05,9.088843986539488e-06,0.00015158739579444053,0.0023560737667917726,3.8801133671958685e-05,2.656387689755485e-06,3.109957262004831e-05,4.310082016831425e-05,3.390104315860107e-05
20401.552744958753,5.708197338153212e-05,5.6138094327893434e-05,3.0450558779334877e-05,5.0422854570396705e-05,5.6638376763286716e-05,5.62656974503941e-05,1.794569269905448e-05,3.993277118421665e-05,5.333781662252013e-05,5.5933404568185574e-05,1.0410322522058299e-05,0.00017956821066813372,0.0032179843754502058,5.4269885249390304e-05,2.8381921131966775e-06,3.425829927619119e-05,5.565134906843246e-05,4.816456552871398e-05
24507.938501080487,7.916633753761448e-05,7.7930126094021e-05,4.067355787127323e-05,6.579885566813069e-05,7.809249863993326e-05,7.822756574382868e-05,2.0542271468720896e-05,4.749825335147867e-05,7.061462372880828e-05,7.903283310497188e-05,1.1879931528971377e-05,0.00020668115415783256,0.005194604498618971,7.825698800137913e-05,2.9240938458630072e-06,3.785063688354663e-05,6.743772591438942e-05,7.047239599926314e-05
29440.84977655257,0.00010895165796349915,0.00010746156035243773,5.5970533486215945e-05,8.643737061790092e-05,0.00010534724954251382,0.00010823692144397955,2.350193340848114e-05,5.446324326655559e-05,8.693112974948736e-05,0.00011132430868950223,1.3449068331032252e-05,0.00023346589472433843,0.0015921273169068155,0.00011048617199615682,2.904621937565438e-06,4.20509767307866e-05,7.786717617337506e-05,9.905673551893583e-05
35366.64805680504,0.00014874186064049028,0.00014701344212931546,7.890117648797976e-05,0.0001158703030542177,0.00014056959084259892,0.00014824438607467967,2.6823033547569708e-05,6.094330853623556e-05,9.983210965128046e-05,0.00014748678915734066,1.5046251426125909e-05,0.0002611581936491497,0.0017306575344295631,0.00014283543852131736,2.795935622560211e-06,4.6895085747468077e-05,8.719865363851845e-05,0.00012821788752354069
42485.17975082626,0.00020155141306376842,0.00019955961008723787,0.00011302339502421502,0.00015870473926852396,0.00018839466847259123,0.0001999557947907505,3.0480016930487658e-05,6.734541566878229e-05,0.00010952997961442487,0.00017670125019472738,1.658209719107226e-05,0.000290825698219567,0.0009315867929864247,0.0001668561547246445,2.6520207294308817e-06,5.229498197270935e-05,9.616811525958724e-05,0.0001530595457428386
51036.51597292699,0.00027124949238948627,0.0002689529463013509,0.0001630245455114948,0.00022013899663944625,0.00025451113389675373,0.00026701702066501444,3.442335217556346e-05,7.411863870647462e-05,0.00011786523442363674,0.000194647391062475,1.7964228193060455e-05,0.0003230685731408292,,0.00018197507744156446,2.5337923784032185e-06,5.793767075946456e-05,0.0001055065758762512,0.00017219933194627737
61309.04889496625,0.000362537607991216,0.00035991601601718937,0.00023481177759941858,0.0003056742805542124,0.0003439960958301815,0.00035606504193669807,3.8591990588775216e-05,8.152206604892555e-05,0.00012651682615000444,0.0002062102092878354,1.910661246674189e-05,0.00035751372935122205,,0.00019310818182812113,2.461146032563255e-06,6.340966061403781e-05,0.00011551482540219163,0.00018772881675555193
73649.2177169629,0.00048067374636388306,0.0004777511715448376,0.0003356523826919776,0.0004208506233328267,0.00046138104373115614,0.0004736822164201505,4.2931275357382254e-05,8.951835447738865e-05,0.00013607491649965213,0.00021706501752079277,1.994615979934722e-05,0.00039261540420553603,,0.00020452970711732493,2.4111288558174154e-06,6.822998572528563e-05,0.0001258558043816787,0.00020232419232465298
88473.19226258545,0.0006307991904476451,0.0006276620396441761,0.0004734648019193502,0.000571110032593242,0.0006113044864999428,0.0006239176752990041,4.741328632746136e-05,9.777159182023341e-05,0.00014617408398536272,0.00022887741103630108,2.0451466118094966e-05,0.00042589756129881445,,0.00021720998467410907,2.360836517318818e-06,7.190181656202901e-05,0.00013564231108330327,0.00021689582239231738
106280.90822653226,0.0008162630562196672,0.0008130602847625287,0.0006551559125755422,0.0007604939886247403,0.0007972855017885031,0.0008086354238056835,5.210888757567131e-05,0.00010581816047274852,0.00015610233964733107,0.00024027545860409033,2.0628889989536894e-05,0.0004546302284345813,,0.00022948783546578033,2.2629661631159287e-06,7.402968031589192e-05,0.00014366394682247853,0.0002303297083681849
127672.92740982509,0.0010359212371058146,0.0010329036450728805,0.0008840854742418504,0.0009890216280207548,0.0010186157935764498,0.001026365213917399,5.72083947447035e-05,0.00011331633425329043,0.00016488464699524093,0.00024918232137466356,2.0578714740579485e-05,0.00047654501300114366,,0.0002386788965112515,1.9972776795634806e-06,7.451139392587736e-05,0.0001487321836428305,0.00024035032609717212
153370.6915512147,0.0012799248262087577,,0.0011564426030329263,0.0012481944532546866,0.0012655393527323741,0.001267598991925972,6.28998270475415e-05,0.00012027816513623252,0.00017147208797710888,0.0002552557202007127,2.0406398976139176e-05,0.0004906990197608915,,0.00024226180768177272,1.435464381565471e-06,7.351951363945147e-05,0.00015048539371178941,0.0002446131658470855
184240.85281127229,0.0015999975097532558,,0.0014723455269091013,0.001549799997095062,0.001571565927276048,0.0015783248467694314,6.962806851813948e-05,0.00012711397777299613,0.00017632803044811962,0.00025749486842739124,2.0304132642211953e-05,0.0004980197114880305,,0.00023892753782843966,8.147359250639669e-07,7.148850501602876e-05,0.00014838580094199763,0.00024195082630282423
221324.50145006945,0.002143004917243188,,0.001958919075650871,0.0020884483603301023,0.0021294713996757066,0.002134395616842484,7.819456059310857e-05,0.00013522530978871128,0.00018149702576292573,0.0002562147098816008,2.049411183671114e-05,0.0005029729091411556,,0.0002288758527757371,8.136554943555252e-07,6.911915173053555e-05,0.0001432408158671388,0.000232607136794424
265872.27639626246,0.002232526637680997,,0.002331571951393139,0.0023181696800541746,0.0022563039306698097,0.002235528352935473,8.867029001458082e-05,0.00014593445856383828,0.0001884828021508616,0.0002569494605126933,2.1001821099203913e-05,0.000511209019418167,,0.0002141598324019306,8.872648589210164e-07,6.667323942268627e-05,0.00013707024545742998,0.00021818680711271563
319386.54280478624,0.0020423320287249053,,0.002335894242364696,0.002166602365595724,0.002077730034274139,0.002053510054459945,0.00010122561990295875,0.00015972676802863614,0.00019872790204883764,0.0002595382912109392,2.1823104519851783e-05,0.0005291328752519003,,0.00019866001810697233,1.0226105467813634e-06,6.403593736492921e-05,0.00013200437220814085,0.00020198701868009983
383672.05903318373,0.0017709750718491873,,0.002104255249748329,0.0018915683767205711,0.001808237248728993,0.0017851414794276509,0.00017576695290462407,0.00024462504580985076,0.0002748801240419086,0.00032329333001523963,2.8856278315335035e-05,0.000923229880797273,,0.0002599674641549036,1.284103157755609e-06,0.00010669664830040802,0.00020477962374807097,0.00026003067221456316
460896.84177061974,0.0014014519984756994,,0.0016724924167626568,0.0014926707347172503,0.0014308312328916335,0.0014142712630633818,0.000201500088709115,0.00028626472709281266,0.00031537578585843357,0.00035925959477074373,3.122719112023421e-05,0.0010777685805576087,,0.0002817296743578522,1.473562862498029e-06,0.00010736178570791739,0.0002255530330417671,0.0002774878123153971
553665.2819843693,0.0011025416389387893,,0.0012727488314007267,0.0011585612567700763,0.0011220477165931435,0.001112591292536106,0.0002311178277006401,0.0003385850287686426,0.0003684415555504205,0.0004114763694824698,3.4268663499977675e-05,0.0012730785134755715,,0.00031759158835502864,1.6858861895552996e-06,0.0001109433583643335,0.00024890756060723905,0.00030816583429108327
665105.9775050343,0.0009463703779491635,,0.0010182867696866167,0.0009721032071672818,0.0009568900660744499,0.0009532461110646172,0.0002645258837414028,0.0004018952480769871,0.00043565015806388413,0.0004825086405178345,3.8041663288832656e-05,0.0014948390398535696,,0.000363233104757792,1.919949765321477e-06,0.0001185607091427135,0.0002668889476415241,0.0003413937678300276
798977.2443875517,0.0009766798518011238,,0.0009779096144609152,0.0009826092774225526,0.0009811617202025759,0.0009811389552079955,0.0003016625619934078,0.00047285872413788815,0.0005153101218117271,0.0005703407318637839,4.243242117501177e-05,0.0016807548274140813,,0.0004153387913260406,2.177776166673376e-06,0.0001304902643487118,0.0002834267017874613,0.0003687733115830625
959793.8653983788,0.0010839495052010033,,0.0010713446415352088,0.0010845820276639308,0.0010863569297527714,0.0010884343845428517,0.0003421966298942456,0.0005459521554248298,0.0005973619602115347,0.0006662066386667956,4.728145401232571e-05,0.0018850924491373225,,0.0004597369345842022,2.4534759914020265e-06,0.00014469593738234213,0.00031117224998862894,0.00038544717002417066
1152979.3501972682,0.0017122673184815883,,0.0017127539977698572,0.0017252905633742786,0.0017220682414849121,0.0017250267522430154,0.0005439750440800924,0.0009032147751087544,0.0009763644137629392,0.0010897771293921915,6.515107187180826e-05,0.003087703331989773,,0.000716819831149183,2.983549713351033e-06,0.00022206042160612637,0.00047778280901774467,0.0005831200890289035
1385048.8421589755,0.0015914433319547117,,0.0016110878447138863,0.0016091114842782459,0.0016036236703650952,0.0016053247555820882,0.0006087031730343216,0.0010107504076341967,0.0010889117314253904,0.0012114297258380563,7.121992387375611e-05,0.0034435037772387878,,0.0008194310600884575,3.3081980579888898e-06,0.0002422223569737668,0.0005275287607231383,0.0006571938616255091
1663828.8403323945,0.0021839125065600887,,0.0022155135253918296,0.002211536460721031,0.0022036285263403593,0.002206232642266402,0.0011352942590177467,0.0019706498965109363,0.0021014035089940673,0.0023174908399805558,0.00010541345574937959,0.005843351392382262,,0.0012552293830027199,4.148943215195877e-06,0.0003668244111136969,0.000789461168875568,0.0009508784180407848
1998721.1466179462,0.003172711691922528,,0.003288369138197647,0.00322984599091667,0.0032106811647057074,0.0032137273536326436,0.0025680884029288704,0.004693835066421289,0.005041419087485982,0.00555114732103601,0.0001702803327332577,0.010258720420271317,,0.001910385089294843,5.685859859409434e-06,0.0005451656432554439,0.0011598508286332927,0.0013441211622270653
2401019.9397310987,0.003839830727417337,,0.003977372185666642,0.0006631358360220246,0.003891582752292587,0.0038951824735338064,0.004592765990112949,0.009018923685679008,0.009787547132491872,0.010797052812316417,0.00022745895186637548,0.0024716495116123283,,0.002418076323892203,7.746075942597144e-06,0.0006611426633520625,0.001398570724824081,0.0015833710100600605
2884292.6692105965,0.0009230038586228589,,0.0009300831690954858,0.0008776411570033879,0.0009366212122386419,0.0009366824357038145,0.014277186434023616,0.031732463293694814,0.03616412903867122,0.04098518724064776,0.0004025859409498792,0.003884777574562334,,0.0033730995713535765,1.3332263650744913e-05,0.0008999325001476637,0.0018435815966393425,0.0018108124991485057
3464837.6150485743,0.0011132963483496544,,0.0011066962832845598,0.0010581252863351778,0.0011313158703133777,0.0011308425954294973,0.09608262001208033,0.04690500125011535,0.0600573330491916,0.07401207606297536,0.0009917235802535777,,,0.0007886309720894803,2.6580196777797188e-05,0.0012631677650446222,0.002355258532580829,0.00026354238707828465
4162233.544053341,0.0011728783081884422,,0.0011348493612809013,0.00111300221706951,0.0011938103793488336,0.001192053477516622,0.09469733416441897,0.12969101207737263,0.17493067309831056,0.22262111917015823,0.001789095004977816,,,0.0006258930144775569,3.8342481262269856e-05,0.0013564488878450888,0.0003362667485702041,0.00010231800247450032
4999999.999999999,0.0010535950068320046,,0.0009552267848928556,0.0009968356373257908,0.0010659648820329354,0.0010644260201770547,0.11239259678448801,0.19192672851237222,0.26853649948038777,0.34852499530707226,0.0017375688610132192,,,0.0002483029721490407,3.509424130608216e-05,0.0009320770853217496,0.0001388656919991578,6.166050787133337e-05
